fips,name,type,totalvote2016,democrat2016,republican2016,others2016,write_ins2016,none_of_these_candidates2016
1001,Autauga,County,24973,5936,18172,651,214,0
1003,Baldwin,County,95215,18458,72883,2920,954,0
1005,Barbour,County,10469,4871,5454,111,33,0
1007,Bibb,County,8819,1874,6738,141,66,0
1009,Blount,County,25588,2156,22859,427,146,0
1011,Bullock,County,4710,3530,1140,32,8,0
1013,Butler,County,8732,3726,4901,78,27,0
1015,Calhoun,County,47864,13242,32865,1378,379,0
1017,Chambers,County,13900,5784,7843,212,61,0
1019,Cherokee,County,10733,1547,8953,173,60,0
1021,Chilton,County,18369,2911,15081,280,97,0
1023,Choctaw,County,7292,3109,4106,58,19,0
1025,Clarke,County,13031,5749,7140,116,26,0
1027,Clay,County,6624,1237,5245,109,33,0
1029,Cleburne,County,6593,684,5764,110,35,0
1031,Coffee,County,20767,4221,15875,500,171,0
1033,Colbert,County,24915,7312,16746,618,239,0
1035,Conecuh,County,6585,3080,3420,61,24,0
1037,Coosa,County,5252,1782,3381,67,22,0
1039,Covingto,County,15940,2387,13267,219,67,0
1041,Crenshaw,County,6267,1664,4513,79,11,0
1043,Cullman,County,37873,3798,32989,821,265,0
1045,Dale,County,18749,4413,13808,412,116,0
1047,Dallas,County,18792,12836,5789,120,47,0
1049,DeKalb,County,25826,3622,21405,610,189,0
1051,Elmore,County,37260,8443,27634,850,333,0
1053,Escambia,County,14845,4605,9935,225,80,0
1055,Etowah,County,44164,10442,32353,999,370,0
1057,Fayette,County,8249,1362,6712,133,42,0
1059,Franklin,County,12040,2197,9466,292,85,0
1061,Geneva,County,11758,1525,9994,173,66,0
1063,Greene,County,4880,4013,838,18,11,0
1065,Hale,County,8040,4775,3173,66,26,0
1067,Henry,County,8072,2292,5632,108,40,0
1069,Houston,County,42639,10664,30728,923,324,0
1071,Jackson,County,20984,3673,16672,483,156,0
1073,Jefferso,County,304191,156873,134768,8199,4351,0
1075,Lamar,County,6966,1036,5823,77,30,0
1077,Lauderda,County,39525,9952,27899,1209,465,0
1079,Lawrence,County,14829,3627,10833,281,88,0
1081,Lee,County,59191,21230,34617,2394,950,0
1083,Limeston,County,40294,9468,29067,1257,502,0
1085,Lowndes,County,6684,4883,1751,43,7,0
1087,Macon,County,9140,7566,1431,118,25,0
1089,Madison,County,163389,62822,89520,7875,3172,0
1091,Marengo,County,10994,5615,5233,117,29,0
1093,Marion,County,12984,1432,11274,207,71,0
1095,Marshall,County,35316,4917,29233,836,330,0
1097,Mobile,County,172737,72186,95116,4082,1353,0
1099,Monroe,County,10271,4332,5795,105,39,0
1101,Montgome,County,95878,58916,34003,1976,983,0
1103,Morgan,County,50644,11254,37486,1386,518,0
1105,Perry,County,5278,3824,1407,29,18,0
1107,Pickens,County,9542,3972,5456,68,46,0
1109,Pike,County,13168,5056,7693,305,114,0
1111,Randolph,County,10187,2291,7705,143,48,0
1113,Russell,County,19256,9579,9210,349,118,0
1115,St. Clai,County,38400,5589,31651,814,346,0
1117,Shelby,County,101254,22977,73020,3445,1812,0
1119,Sumter,County,6411,4746,1581,71,13,0
1121,Talladeg,County,33407,12121,20614,517,155,0
1123,Tallapoo,County,19486,5519,13594,285,88,0
1125,Tuscaloo,County,82700,31762,47723,2263,952,0
1127,Walker,County,29472,4497,24266,550,159,0
1129,Washingt,County,8533,2374,6042,95,22,0
1131,Wilcox,County,6123,4339,1742,29,13,0
1133,Winston,County,10313,872,9228,160,53,0
2701,District,Electi,6638,2573,3180,660,225,0
2702,District,Electi,5492,1585,3188,543,176,0
2703,District,Electi,7613,1241,5403,748,221,0
2704,District,Electi,9521,4162,4070,945,344,0
2705,District,Electi,7906,3187,3683,781,255,0
2706,District,Electi,8460,2536,4929,757,238,0
2707,District,Electi,8294,1510,5935,657,192,0
2708,District,Electi,8073,1218,6126,579,150,0
2709,District,Electi,8954,1843,6100,787,224,0
2710,District,Electi,9040,1808,6255,758,219,0
2711,District,Electi,9689,2142,6444,810,293,0
2712,District,Electi,9543,1928,6629,752,234,0
2713,District,Electi,6533,1684,4028,627,194,0
2714,District,Electi,10420,3043,5978,1014,385,0
2715,District,Electi,4982,1828,2525,496,133,0
2716,District,Electi,7436,3294,3203,715,224,0
2717,District,Electi,6788,3290,2618,669,211,0
2718,District,Electi,7402,3909,2684,623,186,0
2719,District,Electi,4792,2669,1636,396,91,0
2720,District,Electi,7140,4151,2187,601,201,0
2721,District,Electi,8647,4224,3479,732,212,0
2722,District,Electi,8372,3270,4203,654,245,0
2723,District,Electi,6924,2894,3246,632,152,0
2724,District,Electi,9290,3578,4709,770,233,0
2725,District,Electi,8127,3378,3816,740,193,0
2726,District,Electi,8905,3374,4548,735,248,0
2727,District,Electi,8783,3729,4085,732,237,0
2728,District,Electi,11427,4749,5423,929,326,0
2729,District,Electi,9394,2101,6347,718,228,0
2730,District,Electi,8950,1816,6194,745,195,0
2731,District,Electi,10182,3466,5617,888,211,0
2732,District,Electi,7472,2701,3764,818,189,0
2733,District,Electi,9934,5978,2732,950,274,0
2734,District,Electi,9431,4220,3955,983,273,0
2735,District,Electi,9042,3749,4105,939,249,0
2736,District,Electi,8264,2693,4460,905,206,0
2737,District,Electi,5062,2421,1938,546,157,0
2738,District,Electi,5095,2758,1143,882,312,0
2739,District,Electi,5639,3142,1405,718,374,0
2740,District,Electi,4610,2338,1377,613,282,0
2799,Overseas,Overse,,,,,,
4001,Apache,County,27661,17083,8240,1789,549,0
4003,Cochise,County,50015,17450,28092,3842,631,0
4005,Coconino,County,59784,32404,21108,4926,1346,0
4007,Gila,County,22515,7003,14182,1123,207,0
4009,Graham,County,12281,3301,8025,808,147,0
4011,Greenlee,County,3300,1092,1892,286,30,0
4012,La Paz,County,5951,1575,4003,299,74,0
