
="",="(1)",="(2)"
="",="csat",="csat"

="expense",="0.00261",="-0.00202"
="",="(0.42)",="(-0.48)"

="perc2",="-0.0271***",=""
="",="(-6.01)",=""

="income",="-1.185",="-0.167"
="",="(-0.75)",="(-0.16)"

="high",="1.997",="1.815"
="",="(1.44)",="(1.53)"

="college",="1.788",="4.671**"
="",="(0.78)",="(2.73)"

="perc",="",="-3.008***"
="",="",="(-12.91)"

="1.region",="",="0"
="",="",="(.)"

="2.region",="",="69.45***"
="",="",="(4.64)"

="3.region",="",="25.40"
="",="",="(1.91)"

="4.region",="",="34.58***"
="",="",="(3.63)"

="_cons",="835.4***",="808.0***"
="",="(10.32)",="(10.13)"

="N",="51",="50"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
